Key,English,ChineseSimplified,ChineseTraditional,Spanish,French,Russian,Portuguese,Japanese,Korean
等级：,Level:,等级：,,,,,,学年：,등급:
经验：,EXP:,经验：,,,,,,経験：,경험:
物理攻击：,Physical Attack:,物理攻击：,,,,,,物理攻撃:,물리 공격:
魔法攻击：,Magic Attack:,魔法攻击：,,,,,,魔法攻撃:,마법 공격:
力量：,Strength:,力量：,,,,,,強さ：,힘:
暴击率：,Crit Rate:,暴击率：,,,,,,クリティカルヒット率：,치명타율:
智力：,Intelligence:,智力：,,,,,,知能：,지능:
体力：,Stamina:,体力：,,,,,,体力：,체력:
防御：,Defense:,防御：,,,,,,防御：,방어:
伤害增加：,Damage Increase:,伤害增加：,,,,,,ダメージ増加:,피해량 증가:
技能攻击力：,ATK:,技能攻击力：,,,,,,スキル攻撃力：,스킬공격력 :
暴击伤害：,Crit Damage:,暴击伤害：,,,,,,クリティカルダメージ:,치명적인 손상:
1,1,1,,,,,,1,1
0,0,0,,,,,,0,0
10,10,10,,,,,,10,10
20,20,20,,,,,,20,20
30,30,30,,,,,,30,30
40,40,40,,,,,,40,40
50,50,50,,,,,,50,50
60,60,60,,,,,,60,60
70,70,70,,,,,,70,70
80,80,80,,,,,,80,80
150,150,150,,,,,,150,150
100/100,100/100,100/100,,,,,,100/100,100/100
生命值：,HP:,生命值：,,,,,,HP:,HP:
魔法值：,Mana:,魔法值：,,,,,,魔法の値:,마법의 가치:
0/0,0/0,0/0,,,,,,0/0,0/0
名称,Name,名称,,,,,,名称,이름
Text,Text,Text,,,,,,Text,Text
000/000,000/000,000/000,,,,,,000/000,000/000
当前/上限,Current/Upper Limit,当前/上限,,,,,,電流/上限,전류/상한
9999,9999,9999,,,,,,9999,9999
NameX32,NameX32,NameX32,,,,,,NameX32,NameX32
Name,Name,Name,,,,,,Name,Name
3,3,3,,,,,,3,3
Confirm,Confirm,Confirm,,,,,,Confirm,Confirm
Descriptions...,Descriptions...,Descriptions...,,,,,,Descriptions...,Descriptions...
Purchase,Purchase,Purchase,,,,,,Purchase,Purchase
Cancel,Cancel,Cancel,,,,,,Cancel,Cancel
99999,99999,99999,,,,,,99999,99999
100,100,100,,,,,,100,100
Purchase Succeeds,Purchase Succeeds,Purchase Succeeds,,,,,,Purchase Succeeds,Purchase Succeeds
Use,Use,Use,,,,,,Use,Use
Rankings,Rankings,Rankings,,,,,,Rankings,Rankings
Settings,Settings,Settings,,,,,,Settings,Settings
Music,Music,Music,,,,,,Music,Music
Sound Effect,Sound Effect,Sound Effect,,,,,,Sound Effect,Sound Effect
Vibration,Vibration,Vibration,,,,,,Vibration,Vibration
On,On,On,,,,,,On,On
93,93,93,,,,,,93,93
999,999,999,,,,,,999,999
936,936,936,,,,,,936,936
全服连杀排行榜,Server-Wide Kill Leaderboard,全服连杀排行榜,,,,,,サーバー全体のキルストリークランキング,서버 전체 킬 연속 순위
11,11,11,,,,,,11,11
180800,180800,180800,,,,,,180800,180800
价值,Value,价值,,,,,,価値,값
